4365,2925,6004,3091
908,2956,1820,3108
908,3657,2548,3808
718,1810,1464,1988
4546,3851,6004,3998
1446,3511,2191,3689
908,3873,3094,4032
902,4326,1644,4511
4546,4607,6004,4770
1078,1845,1468,2005
4545,3544,5096,3686
907,4603,2184,4760
5635,3706,6007,3841
4364,2128,6004,2285
4718,3623,5105,3782
4364,1673,6005,1850
5639,3532,6003,3656
726,2454,1456,2589
5452,4066,6008,4216
2364,1319,4184,1472
4000,4816,6004,4975
909,2696,1637,2820
4182,2581,6005,2750
5452,3161,6008,3315
4545,4119,4914,4264
717,3411,1465,3605
4363,1898,6005,2065
903,4814,1279,4960
4365,2687,6004,2818
4357,3159,4920,3329
726,3179,1819,3322
2363,1152,4185,1318
727,4131,1819,4264
723,2547,3096,2755
4000,4315,6005,4492
726,1943,2911,2089
721,2141,1643,2318
