2725,1242,4003,1399
3995,1314,5097,1500
893,3210,1834,3455
5454,2198,6002,2351
900,1845,2191,2061
883,2488,1299,2699
1261,2585,2011,2783
4364,3511,6001,3657
4364,2877,6001,3021
4364,1999,6002,2142
908,1996,2183,2143
1085,3479,2369,3682
1081,2176,2009,2373
4000,3706,6001,3845
1087,2873,2004,3038
4359,2644,5461,2819
4364,1699,6002,1855
3454,5232,4911,5392
907,2706,1820,2861
4362,3350,6003,3517
5273,2712,6002,2848
3451,5082,4732,5272
4363,1888,5821,2034
3997,2215,5459,2384
1636,1327,2546,1477
3453,5403,4548,5563
3628,4263,5464,4930
1090,3680,2910,3846
